Ward No.,Ward Name,,,,,Population Density 2011 (people/square km),Low Income % (People with no assets),Water Quality,Normalized Population,Normalized Water,Normalized Income,Ward Ranking
155,Hanumanthanagar,Bangalore South,City Circle,Basavanagudi,Bangalore South,37440,1.2,3.68,31.7129570807816,56.0859188544153,16.2162162162162,35.2634454444089
156,Srinagar,Bangalore South,City Circle,Basavanagudi,Bangalore South,51685,1.1,4.24,43.7789579786378,49.4033412887828,14.8648648648649,34.4630740571866
157,Gali Anjaneya Temple,Bangalore North,City Circle,Vijay Nagar,Bangalore South,30439,3.1,3.6,25.7828712762263,57.0405727923628,41.8918918918919,44.7295601289471
158,Deepanjalinagar,Bangalore North,City Circle,Vijay Nagar,Bangalore South,21980,7.3,4.66,18.6178097391982,44.3914081145585,98.6486486486487,60.9395846531225
159,Kengeri,Bangalore South,Kengeri,Yeshvanthapura,Bangalore North,7980,3.3,3.53,6.75933219830763,57.8758949880668,44.5945945945946,42.3400622727261
160,Rajarajeshwarinagar,Bangalore South,Kengeri,Rajarajeshwarinagar,Bangalore Rural,5112,2.6,3.58,4.33003837064519,57.2792362768496,35.1351351351351,37.8317562389229
161,Hosakerehalli,Bangalore South,Uttarahalli,Padmanabhanagar,Bangalore South,34776,1.7,2.41,29.4564582115722,71.2410501193317,22.972972972973,43.5769008792363
162,Girinagar,Bangalore South,Uttarahalli,Basavanagudi,Bangalore South,24537,0.8,2.1,20.7836759586309,74.9403341288783,10.8108108108108,38.4571931676018
163,Kathriguppe,Bangalore South,Uttarahalli,Basavanagudi,Bangalore South,41071,0.6,5.61,34.7885379344226,33.054892601432,8.10810810810811,23.4229078707006
164,Vidyapeetha,Bangalore South,Uttarahalli,Basavanagudi,Bangalore South,35279,1.7,5.18,29.8825163689342,38.1861575178998,22.972972972973,30.4401554701359
